Yr_Mo,Year,Month,Site,Area,RS,RH,RS/RH,Clods
16_10,2016,10,1637A,T12-1,445,53,8.4,57
16_10,2016,10,1637B,T12-1,410,37,11.08,63
16_10,2016,10,1638A,T12-1,350,42,8.33,68
16_10,2016,10,1638B,T12-1,350,49,7.14,65
16_10,2016,10,1639A,T12-1,424,44,9.64,80
16_10,2016,10,1639B,T12-1,358,45,7.94,12
16_10,2016,10,1640A,T12-1,360,34,10.59,53
16_10,2016,10,1640B,T12-1,385,38,10.13,67
16_11,2016,11,1637A,T12-1,450,49,9.18,47
16_11,2016,11,1637B,T12-1,415,37,11.22,68
16_11,2016,11,1638A,T12-1,363,44,8.25,68
16_11,2016,11,1638B,T12-1,305,50,6.1,48
16_11,2016,11,1639A,T12-1,433,42,10.31,57
16_11,2016,11,1639B,T12-1,378,46,8.22,23
16_11,2016,11,1640A,T12-1,368,36,10.22,27
16_11,2016,11,1640B,T12-1,363,35,10.37,67
16_10,2016,10,1625B,T16,408,53,7.69,100
16_10,2016,10,1625A,T16,413,52,7.93,97
16_10,2016,10,1626A,T16,301,43,7,57
16_10,2016,10,1626B,T16,254,47,5.4,63
16_10,2016,10,1627A,T16,308,46,6.7,77
16_10,2016,10,1627B,T16,295,34,8.68,93
16_10,2016,10,1628A,T16,268,45,5.96,88
16_10,2016,10,1628B,T16,246,47,5.23,78
16_10,2016,10,1629A,T16,341,39,8.86,70
16_10,2016,10,1629b,T16,230,39,5.9,43
16_10,2016,10,1630A,T16,286,52,5.5,63
16_10,2016,10,1630B,T16,262,51,5.18,57
16_11,2016,11,1625A,T16,420,51,8.24,85
16_11,2016,11,1625B,T16,398,54,7.37,50
16_11,2016,11,1626A,T16,293,45,6.51,48
16_11,2016,11,1626B,T16,248,48,5.17,63
16_11,2016,11,1627A,T16,298,42,7.1,63
16_11,2016,11,1627B,T16,283,34,8.32,67
16_11,2016,11,1628A,T16,270,44,6.14,70
16_11,2016,11,1628B,T16,250,49,5.1,55
16_11,2016,11,1629A,T16,328,36,9.11,33
16_11,2016,11,1629B,T16,230,40,5.75,0
16_11,2016,11,1630A,T16,298,53,5.62,57
16_11,2016,11,1630B,T16,259,46,5.63,33
16_10,2016,10,1600A,T2-2,330,49,6.73,87
16_10,2016,10,1600B,T2-2,356,50,7.11,42
16_11,2016,11,1600A,T2-2,329,48,6.85,90
16_11,2016,11,1600B,T2-2,353,48,7.35,70
16_10,2016,10,1612A,T2-3,335,51,6.57,73
16_10,2016,10,1612B,T2-3,345,46,7.5,83
16_10,2016,10,1613A,T2-3,368,43,8.55,83
16_10,2016,10,1613B,T2-3,358,42,8.51,83
16_11,2016,11,1612A,T2-3,327,48,6.81,87
16_11,2016,11,1612b,T2-3,352,47,7.49,100
16_11,2016,11,1613A,T2-3,360,43,8.37,90
16_11,2016,11,1613B,T2-3,357,40,8.93,100
